"Date","Price","Open","High","Low","Vol.","Change %"
"10/09/2024","5.640","5.800","5.905","5.614","2.72M","-1.74%"
"10/08/2024","5.740","5.710","5.866","5.690","3.47M","1.23%"
"10/07/2024","5.670","5.950","5.950","5.578","3.12M","-6.59%"
"10/04/2024","6.070","6.170","6.170","5.900","3.90M","-0.33%"
"10/03/2024","6.090","6.090","6.238","5.925","2.81M","-2.40%"
"10/02/2024","6.240","6.160","6.390","6.105","4.16M","0.00%"
"10/01/2024","6.240","6.110","6.300","6.010","3.82M","2.13%"
"09/30/2024","6.110","6.210","6.360","6.040","3.92M","-2.55%"
"09/27/2024","6.270","6.210","6.350","6.175","3.97M","0.97%"
"09/26/2024","6.210","6.250","6.305","6.115","5.07M","1.14%"
"09/25/2024","6.140","6.500","6.570","6.115","4.57M","-6.83%"
"09/24/2024","6.590","6.270","6.620","6.235","6.56M","6.29%"
"09/23/2024","6.200","6.200","6.270","6.070","4.33M","0.16%"
"09/20/2024","6.190","6.250","6.340","6.155","12.69M","-1.75%"
"09/19/2024","6.300","6.510","6.580","6.280","5.53M","-1.41%"
"09/18/2024","6.390","6.520","6.780","6.380","6.50M","-2.29%"
"09/17/2024","6.540","6.450","6.625","6.405","5.91M","2.03%"
"09/16/2024","6.410","6.310","6.620","6.245","7.30M","0.47%"
"09/13/2024","6.380","6.050","6.425","6.000","9.09M","7.05%"
"09/12/2024","5.960","6.000","6.050","5.850","6.27M","-0.50%"
"09/11/2024","5.990","5.780","5.990","5.631","4.65M","0.50%"
"09/10/2024","5.960","5.960","5.990","5.700","5.71M","1.02%"
"09/09/2024","5.900","5.240","5.990","5.200","10.37M","14.34%"
"09/06/2024","5.160","5.280","5.310","5.070","3.71M","-2.27%"
"09/05/2024","5.280","5.160","5.340","5.095","7.12M","3.13%"
"09/04/2024","5.120","5.120","5.375","5.040","3.64M","-0.39%"
"09/03/2024","5.140","5.110","5.300","5.090","4.65M","0.19%"
"08/30/2024","5.130","5.270","5.390","5.090","4.08M","-0.77%"
"08/29/2024","5.170","5.480","5.510","5.160","3.61M","-4.96%"
"08/28/2024","5.440","5.510","5.550","5.245","5.92M","-1.81%"
"08/27/2024","5.540","5.590","5.690","5.460","7.76M","-3.15%"
"08/26/2024","5.720","5.250","5.920","5.150","16.14M","11.50%"
"08/23/2024","5.130","4.750","5.220","4.715","9.96M","9.38%"
"08/22/2024","4.690","4.740","4.835","4.680","2.70M","-1.05%"
"08/21/2024","4.740","4.830","4.850","4.730","2.82M","-0.63%"
"08/20/2024","4.770","4.880","4.910","4.750","3.02M","-2.45%"
"08/19/2024","4.890","4.800","4.915","4.760","5.73M","4.04%"
"08/16/2024","4.700","4.710","4.860","4.635","5.13M","-0.21%"
"08/15/2024","4.710","4.570","4.750","4.530","4.23M","4.43%"
"08/14/2024","4.510","4.400","4.590","4.215","4.68M","3.68%"
"08/13/2024","4.350","4.180","4.380","4.090","6.05M","4.82%"
"08/12/2024","4.150","4.280","4.320","4.130","3.22M","-2.58%"
"08/09/2024","4.260","4.350","4.408","4.225","3.38M","-1.84%"
"08/08/2024","4.340","4.260","4.370","4.180","2.48M","4.33%"
"08/07/2024","4.160","4.380","4.400","4.140","3.90M","-3.26%"
"08/06/2024","4.300","4.220","4.430","4.200","3.63M","0.94%"
"08/05/2024","4.260","3.890","4.295","3.850","5.40M","-0.47%"
"08/02/2024","4.280","4.040","4.335","3.840","6.67M","0.47%"
"08/01/2024","4.260","4.710","4.750","4.070","9.25M","-2.96%"
"07/31/2024","4.390","4.460","4.664","4.330","8.38M","-1.57%"
"07/30/2024","4.460","4.480","4.520","4.375","3.51M","-0.22%"
"07/29/2024","4.470","4.440","4.550","4.411","4.06M","0.68%"
"07/26/2024","4.440","4.430","4.480","4.285","3.54M","2.78%"
"07/25/2024","4.320","4.320","4.485","4.250","3.96M","-0.23%"
"07/24/2024","4.330","4.460","4.530","4.290","2.53M","-4.84%"
"07/23/2024","4.550","4.440","4.685","4.410","3.18M","1.79%"
"07/22/2024","4.470","4.550","4.560","4.400","2.45M","0.22%"
"07/19/2024","4.460","4.440","4.500","4.300","2.90M","0.00%"
"07/18/2024","4.460","4.570","4.755","4.420","4.50M","-3.67%"
"07/17/2024","4.630","4.600","4.885","4.540","6.06M","-2.53%"
"07/16/2024","4.750","4.430","4.780","4.405","7.25M","9.20%"
"07/15/2024","4.350","4.140","4.450","4.120","7.71M","5.84%"
"07/12/2024","4.110","4.060","4.180","3.990","5.52M","3.53%"
"07/11/2024","3.970","3.830","3.990","3.770","5.64M","8.77%"
"07/10/2024","3.650","3.680","3.690","3.480","3.02M","0.27%"
"07/09/2024","3.640","3.600","3.640","3.470","2.60M","0.28%"
"07/08/2024","3.630","3.640","3.680","3.550","2.38M","0.83%"
"07/05/2024","3.600","3.500","3.600","3.470","1.90M","2.56%"
"07/03/2024","3.510","3.550","3.630","3.510","2.12M","-0.57%"
"07/02/2024","3.530","3.390","3.530","3.370","3.20M","5.06%"
"07/01/2024","3.360","3.600","3.635","3.340","3.22M","-6.67%"
"06/28/2024","3.600","3.740","3.755","3.560","17.01M","-2.44%"
"06/27/2024","3.690","3.620","3.770","3.560","3.47M","2.79%"
"06/26/2024","3.590","3.500","3.590","3.465","3.00M","1.41%"
"06/25/2024","3.540","3.580","3.630","3.500","4.65M","1.72%"
"06/24/2024","3.480","3.520","3.620","3.370","4.41M","-1.97%"
"06/21/2024","3.550","3.480","3.557","3.450","5.74M","1.72%"
"06/20/2024","3.490","3.600","3.650","3.460","3.40M","-2.79%"
"06/18/2024","3.590","3.570","3.660","3.560","2.80M","0.56%"
"06/17/2024","3.570","3.610","3.660","3.520","2.15M","-1.92%"
"06/14/2024","3.640","3.590","3.670","3.560","2.42M","-0.55%"
"06/13/2024","3.660","3.910","3.980","3.640","4.20M","-7.11%"
"06/12/2024","3.940","3.860","4.120","3.830","5.22M","8.24%"
"06/11/2024","3.640","3.500","3.670","3.490","2.27M","3.12%"
"06/10/2024","3.530","3.520","3.580","3.485","2.82M","-1.94%"
"06/07/2024","3.600","3.650","3.690","3.570","2.19M","-3.49%"
"06/06/2024","3.730","3.660","3.770","3.600","2.17M","0.54%"
"06/05/2024","3.710","3.690","3.780","3.595","3.63M","2.20%"
"06/04/2024","3.630","3.650","3.680","3.581","3.18M","-2.16%"
"06/03/2024","3.710","3.810","3.860","3.610","2.35M","-1.07%"
"05/31/2024","3.750","3.810","3.860","3.720","2.87M","-0.79%"
"05/30/2024","3.780","3.810","3.850","3.750","2.70M","-0.26%"
"05/29/2024","3.790","3.890","3.910","3.770","3.08M","-4.77%"
"05/28/2024","3.980","4.080","4.158","3.960","3.02M","-2.45%"
"05/24/2024","4.080","4.040","4.160","3.920","2.52M","0.99%"
"05/23/2024","4.040","4.220","4.280","3.950","4.41M","-3.81%"
"05/22/2024","4.200","4.270","4.300","4.160","2.88M","-2.33%"
"05/21/2024","4.300","4.280","4.370","4.250","2.96M","-0.69%"
"05/20/2024","4.330","4.300","4.540","4.300","5.21M","0.70%"
"05/17/2024","4.300","4.330","4.350","4.190","3.60M","-1.15%"
"05/16/2024","4.350","4.380","4.490","4.330","3.33M","-1.36%"
"05/15/2024","4.410","4.500","4.680","4.380","7.60M","2.08%"
"05/14/2024","4.320","4.210","4.420","4.190","6.33M","4.85%"
"05/13/2024","4.120","3.970","4.380","3.970","6.81M","5.64%"
"05/10/2024","3.900","4.010","4.060","3.795","6.60M","-3.94%"
"05/09/2024","4.060","3.660","4.070","3.660","9.82M","23.78%"
"05/08/2024","3.280","3.280","3.310","3.210","3.05M","-3.53%"
"05/07/2024","3.400","3.340","3.430","3.320","2.13M","1.19%"
"05/06/2024","3.360","3.420","3.420","3.210","3.15M","-0.30%"
"05/03/2024","3.370","3.300","3.475","3.280","5.23M","6.31%"
"05/02/2024","3.170","3.190","3.200","3.025","2.99M","1.28%"
"05/01/2024","3.130","3.170","3.290","3.045","3.09M","-0.63%"
"04/30/2024","3.150","3.200","3.240","3.130","2.19M","-3.67%"
"04/29/2024","3.270","3.330","3.420","3.235","1.76M","-0.91%"
"04/26/2024","3.300","3.250","3.369","3.240","2.03M","2.48%"
